|    |   Input Length |   Output Length |   #Requests_FP8 |   Batch Size |   GPUs |   num_samples_FP8 |   num_error_samples_FP8 |   total_latency(ms)_FP8 |   seq_throughput(seq/sec)_FP8 |   Token Throughput_FP8 |   avg_sequence_latency(ms)_FP8 |   max_sequence_latency(ms)_FP8 |   min_sequence_latency(ms)_FP8 |   p99_sequence_latency(ms)_FP8 |   p90_sequence_latency(ms)_FP8 |   p50_sequence_latency(ms)_FP8 |   Prefill Latency_FP8 |   max_time_to_first_token(ms)_FP8 |   min_time_to_first_token(ms)_FP8 |   p99_time_to_first_token(ms)_FP8 |   p90_time_to_first_token(ms)_FP8 |   p50_time_to_first_token(ms)_FP8 |   Inter-Token Latency_FP8 |   max_inter_token_latency(ms)_FP8 |   min_inter_token_latency(ms)_FP8 |   p99_inter_token_latency(ms)_FP8 |   p90_inter_token_latency(ms)_FP8 |   p50_inter_token_latency(ms)_FP8 |   util_min_FP8 |   util_max_FP8 |   Compute Utilization_FP8 |   mem_min_FP8 |   mem_max_FP8 |   mem_avg_FP8 |   #Requests_FP16 |   num_samples_FP16 |   num_error_samples_FP16 |   total_latency(ms)_FP16 |   seq_throughput(seq/sec)_FP16 |   Token Throughput_FP16 |   avg_sequence_latency(ms)_FP16 |   max_sequence_latency(ms)_FP16 |   min_sequence_latency(ms)_FP16 |   p99_sequence_latency(ms)_FP16 |   p90_sequence_latency(ms)_FP16 |   p50_sequence_latency(ms)_FP16 |   Prefill Latency_FP16 |   max_time_to_first_token(ms)_FP16 |   min_time_to_first_token(ms)_FP16 |   p99_time_to_first_token(ms)_FP16 |   p90_time_to_first_token(ms)_FP16 |   p50_time_to_first_token(ms)_FP16 |   Inter-Token Latency_FP16 |   max_inter_token_latency(ms)_FP16 |   min_inter_token_latency(ms)_FP16 |   p99_inter_token_latency(ms)_FP16 |   p90_inter_token_latency(ms)_FP16 |   p50_inter_token_latency(ms)_FP16 |   util_min_FP16 |   util_max_FP16 |   Compute Utilization_FP16 |   mem_min_FP16 |   mem_max_FP16 |   mem_avg_FP16 |
|  9 |            128 |            2048 |             512 |           32 |      2 |               512 |                       0 |        574616           |                     0.891029  |               1824.83  |                        35913.3 |                        35946.2 |                        35802.6 |                        35946.2 |                        35943.1 |                        35925.5 |              281.635  |                          320.043  |                           63.1498 |                          320.028  |                          317.932  |                          313.862  |                  17.4068  |                          17.5207  |                          17.3365  |                          17.5192  |                          17.5077  |                          17.3991  |              0 |            100 |                   91.4626 |   0.000695551 |       96.132  |       89.2509 |              512 |                512 |                        0 |         935547           |                      0.547273  |               1120.82   |                         58471.5 |                         58630.6 |                         58294.1 |                         58630.5 |                         58607.9 |                         58460.6 |               533.979  |                            676.494 |                           114.793  |                            676.487 |                           565.553  |                           543.141  |                    28.3036 |                            28.575  |                            28.2279 |                            28.5428 |                            28.3525 |                            28.3117 |               0 |             100 |                    92.0257 |    0.000695551 |        97.3145 |        91.3081 |
| 10 |            128 |            2048 |             128 |            8 |      8 |               128 |                       0 |        300104           |                     0.426518  |                873.51  |                        18756.2 |                        18792.6 |                        18605.1 |                        18792.6 |                        18786.5 |                        18777.8 |               67.1899 |                          239.742  |                           34.7231 |                          239.732  |                           69.6898 |                           51.8943 |                   9.12994 |                           9.15911 |                           9.04233 |                           9.15911 |                           9.1543  |                           9.14145 |              0 |            100 |                   87.8693 |   0.000695551 |       95.5561 |       85.8156 |              128 |                128 |                        0 |         468882           |                      0.27299   |                559.083  |                         29304.6 |                         29398.7 |                         29234.6 |                         29398.7 |                         29326.3 |                         29300.3 |                88.2321 |                            259.207 |                            46.2565 |                            259.196 |                            94.0895 |                            93.7405 |                    14.2728 |                            14.2969 |                            14.2352 |                            14.2969 |                            14.2902 |                            14.2739 |               0 |             100 |                    90.5104 |    0.000695551 |        95.9164 |        88.6509 |
| 11 |            128 |            2048 |              64 |            4 |      8 |                64 |                       0 |        286523           |                     0.223368  |                457.457 |                        17907.4 |                        17995.1 |                        17890.3 |                        17995.1 |                        17917.7 |                        17901.2 |               53.1674 |                          146.397  |                           37.331  |                          146.397  |                           60.2441 |                           55.3114 |                   8.72213 |                           8.73486 |                           8.70453 |                           8.73486 |                           8.72826 |                           8.72274 |              0 |            100 |                   87.8838 |   0.000695551 |       95.5561 |       85.8192 |               64 |                 64 |                        0 |         461514           |                      0.138674  |                284.005  |                         28844.1 |                         28940.7 |                         28685.7 |                         28940.7 |                         28913   |                         28875.6 |                59.361  |                            134.076 |                            46.4653 |                            134.076 |                            75.1458 |                            51.7792 |                    14.0619 |                            14.0993 |                            13.9907 |                            14.0993 |                            14.0962 |                            14.0726 |               0 |             100 |                    90.1061 |    0.000695551 |        95.9164 |        88.1154 |
| 12 |            128 |            2048 |            4096 |          256 |      2 |              4096 |                       0 |             1.13748e+06 |                     3.60093   |               7374.7   |                        71085.2 |                        72808.8 |                        69499.4 |                        72223   |                        71135.1 |                        71076.8 |             1041.56   |                         2422.45   |                          571.343  |                         2316.74   |                         1169      |                         1157.06   |                  34.2178  |                          34.4503  |                          33.5965  |                          34.4503  |                          34.4238  |                          34.1603  |              0 |            100 |                   94.8448 |   0.000695551 |       96.1404 |       92.4828 |             4096 |               4096 |                        0 |              2.3551e+06  |                      1.7392    |               3561.89   |                        143729   |                        219737   |                        108448   |                        218742   |                        216951   |                        110466   |             35831.4    |                         111271     |                          1002.58   |                         110280     |                        108477      |                          1986.53   |                    52.7091 |                            53.4162 |                            27.5338 |                            53.3959 |                            53.0078 |                            52.9862 |               0 |             100 |                    96.1062 |    0.000695551 |        97.32   |        94.6477 |
| 13 |            128 |            2048 |             128 |            8 |      4 |               128 |                       0 |        401533           |                     0.318778  |                652.858 |                        25095.3 |                        25130.4 |                        24998.1 |                        25130.4 |                        25114.2 |                        25105   |               70.0098 |                           86.3405 |                           42.4122 |                           86.3384 |                           86.186  |                           54.7881 |                  12.2254  |                          12.2499  |                          12.176   |                          12.2499  |                          12.2413  |                          12.2262  |              0 |            100 |                   90.6788 |   0.000695551 |       95.5019 |       87.8475 |              128 |                128 |                        0 |         595639           |                      0.214895  |                440.105  |                         37226.7 |                         37246.5 |                         37164.9 |                         37246.5 |                         37245.3 |                         37231.4 |                88.9519 |                            138.029 |                            61.0459 |                            138.021 |                           104.174  |                            80.0299 |                    18.1425 |                            18.1565 |                            18.1051 |                            18.1565 |                            18.1549 |                            18.1442 |               0 |             100 |                    91.2887 |    0.000695551 |        96.1279 |        89.3131 |
| 14 |            128 |            2048 |            4096 |          256 |      4 |              4096 |                       0 |        877651           |                     4.667     |               9558.02  |                        54846.3 |                        55949.2 |                        53960.8 |                        55583   |                        54885.5 |                        54837.5 |              639.92   |                         1533.96   |                          375.727  |                         1462.4    |                          719.108  |                          706.27   |                  26.4811  |                          26.6304  |                          26.1429  |                          26.6304  |                          26.6056  |                          26.4482  |              0 |            100 |                   94.2244 |   0.000695551 |       95.5088 |       91.8282 |             4096 |               4096 |                        0 |              1.76887e+06 |                      2.3156    |               4742.35   |                        108832   |                        111875   |                         55584.1 |                        111301   |                        110619   |                        110537   |             54112.8    |                          56773.1   |                           674.558  |                          56703.8   |                         55869.2    |                         55829.3    |                    26.7315 |                            26.9937 |                            26.4526 |                            26.9678 |                            26.7557 |                            26.7284 |               0 |             100 |                    94.7578 |    0.000695551 |        96.1404 |        93.7932 |
| 15 |            128 |            2048 |              32 |            2 |      8 |                32 |                       0 |        280153           |                     0.114223  |                233.93  |                        17509.5 |                        17519.3 |                        17490.7 |                        17519.3 |                        17518.3 |                        17513.1 |               32.6095 |                           96.0266 |                           28.2546 |                           96.0266 |                           28.5745 |                           28.3331 |                   8.53781 |                           8.54461 |                           8.50962 |                           8.54461 |                           8.54413 |                           8.5397  |              0 |            100 |                   87.8325 |   0.000695551 |       95.5561 |       85.9158 |               32 |                 32 |                        0 |         460407           |                      0.0695037 |                142.344  |                         28775.4 |                         28833.1 |                         28639.2 |                         28833.1 |                         28805.6 |                         28796.7 |                49.5879 |                            236.005 |                            36.9758 |                            236.005 |                            37.391  |                            37.1751 |                    14.0331 |                            14.0539 |                            13.9703 |                            14.0539 |                            14.0538 |                            14.0491 |               0 |             100 |                    90.8847 |    0.000695551 |        95.9164 |        88.7234 |
| 16 |            128 |            2048 |             256 |           16 |      8 |               256 |                       0 |        327925           |                     0.780666  |               1598.8   |                        20495.1 |                        20524   |                        20345.7 |                        20524   |                        20520.7 |                        20511.8 |               81.284  |                          123.499  |                           44.7918 |                          123.489  |                          104.391  |                           92.4648 |                   9.97253 |                          10.0045  |                           9.8997  |                          10.0045  |                           9.99955 |                           9.97632 |              0 |             99 |                   89.082  |   0.000695551 |       95.5561 |       87.4169 |              256 |                256 |                        0 |         489234           |                      0.523267  |               1071.65   |                         30576.8 |                         30668   |                         30409.4 |                         30668   |                         30627.7 |                         30610.8 |               124.263  |                            365.61  |                            46.6656 |                            365.6   |                           127.301  |                           126.961  |                    14.8767 |                            14.9323 |                            14.8033 |                            14.9323 |                            14.9244 |                            14.8924 |               0 |             100 |                    89.7432 |    0.000695551 |        95.9164 |        88.261  |
| 17 |            128 |            2048 |              64 |            4 |      4 |                64 |                       0 |        400011           |                     0.159996  |                327.671 |                        25000.4 |                        25260.9 |                        24902.6 |                        25260.9 |                        25010.8 |                        24996.9 |               50.7527 |                          203.834  |                           42.0947 |                          203.834  |                           42.6195 |                           42.4206 |                  12.1884  |                          12.2885  |                          12.1446  |                          12.2885  |                          12.1976  |                          12.1909  |              0 |            100 |                   89.7635 |   0.000695551 |       95.5088 |       86.879  |               64 |                 64 |                        0 |         608312           |                      0.105209  |                215.468  |                         38018.6 |                         38398.5 |                         37832.1 |                         38398.5 |                         38147   |                         37926.3 |                73.4074 |                            324.99  |                            58.2019 |                            324.99  |                            72.9236 |                            61.7662 |                    18.537  |                            18.6429 |                            18.4515 |                            18.6429 |                            18.6029 |                            18.4977 |               0 |             100 |                    91.4276 |    0.000695551 |        96.1334 |        89.4135 |
| 18 |            128 |            2048 |            2048 |          128 |      2 |              2048 |                       0 |        778165           |                     2.63183   |               5389.99  |                        48632.2 |                        49334.2 |                        48126.8 |                        48756.6 |                        48708.3 |                        48615.2 |              867.742  |                         1304.67   |                          577.094  |                         1165.8    |                         1154.41   |                          648.502  |                  23.3344  |                          23.5248  |                          23.1513  |                          23.5248  |                          23.4855  |                          23.4216  |              0 |            100 |                   93.2799 |   0.000695551 |       96.1404 |       90.9938 |             2048 |               2048 |                        0 |              1.20186e+06 |                      1.70403   |               3489.85   |                         75115.6 |                         75182.8 |                         75005.8 |                         75182.8 |                         75162.9 |                         75105.3 |              1473.77   |                           2092.54  |                           106.335  |                           2092.52  |                          1957.41   |                          1134.3    |                    35.9754 |                            36.6411 |                            35.687  |                            36.623  |                            36.1792 |                            36.1159 |               0 |             100 |                    93.5856 |    0.000695551 |        97.3145 |        92.7098 |
| 19 |            128 |            2048 |            1024 |           64 |      4 |              1024 |                       0 |        511264           |                     2.00288   |               4101.9   |                        31953.9 |                        32163.2 |                        31737.1 |                        32163.1 |                        32142   |                        31946.2 |              352.819  |                          452.368  |                           44.2484 |                          452.352  |                          373.829  |                          373.146  |                  15.4376  |                          15.6832  |                          15.322   |                          15.6596  |                          15.5297  |                          15.4284  |              0 |            100 |                   91.6235 |   0.000695551 |       95.5047 |       89.0342 |             1024 |               1024 |                        0 |         687072           |                      1.49038   |               3052.3    |                         42940.8 |                         43030.5 |                         42919.6 |                         43012.2 |                         42951   |                         42935.8 |               555.208  |                            662.089 |                           551.363  |                            575.323 |                           555.355  |                           553.851  |                    20.7062 |                            20.7313 |                            20.6905 |                            20.7313 |                            20.712  |                            20.704  |               0 |             100 |                    91.9723 |    0.000695551 |        96.1334 |        90.0603 |
